tempo,altura
12.8,0.159
12.84,0.159
12.88,0.159
12.92,0.159
12.96,0.159
13,0.159
13.04,0.159
13.08,0.159
13.12,0.159
13.16,0.159
13.2,0.158
13.24,0.158
13.28,0.158
13.32,0.157
13.36,0.156
13.4,0.156
13.44,0.155
13.48,0.153
13.52,0.152
13.56,0.151
13.6,0.15
13.64,0.148
13.68,0.146
13.72,0.144
13.76,0.143
13.8,0.141
13.84,0.14
13.88,0.138
13.92,0.136
13.96,0.135
14,0.133
14.04,0.131
14.08,0.129
14.12,0.126
14.16,0.124
14.2,0.121
14.24,0.119
14.28,0.117
14.32,0.113
14.36,0.111
14.4,0.107
14.44,0.105
14.48,0.102
14.52,0.09719
14.56,0.09482
14.6,0.09173
14.64,0.08844
14.68,0.08545
14.72,0.08144
14.76,0.0768
14.8,0.07402
14.84,0.06888
14.88,0.06373
14.92,0.06002
14.96,0.05508
15,0.05189
15.04,0.04746
15.08,0.04479
15.12,0.04067
15.16,0.03634
15.2,0.03099
15.24,0.02667
15.28,0.02203
15.32,0.01719
15.36,0.008442
15.4,0.002986
15.44,0.001338
15.48,0.001853
15.52,0.00103
15.56,0.001132
