tempo,altura
10.08,0.159
10.12,0.159
10.16,0.159
10.2,0.159
10.24,0.159
10.28,0.159
10.32,0.159
10.36,0.159
10.4,0.159
10.44,0.159
10.48,0.157
10.52,0.157
10.56,0.156
10.6,0.155
10.64,0.153
10.68,0.153
10.72,0.152
10.76,0.151
10.8,0.149
10.84,0.148
10.88,0.147
10.92,0.145
10.96,0.144
11,0.142
11.04,0.141
11.08,0.139
11.12,0.137
11.16,0.135
11.2,0.133
11.24,0.132
11.28,0.13
11.32,0.127
11.36,0.126
11.4,0.124
11.44,0.122
11.48,0.119
11.52,0.118
11.56,0.114
11.6,0.111
11.64,0.107
11.68,0.104
11.72,0.101
11.76,0.09872
11.8,0.09614
11.84,0.09339
11.88,0.08995
11.92,0.08462
11.96,0.08359
12,0.07757
12.04,0.07395
12.08,0.06914
12.12,0.06552
12.16,0.06225
12.2,0.05864
12.24,0.05365
12.28,0.05142
12.32,0.04746
12.36,0.0435
12.4,0.038
12.44,0.0337
12.48,0.02957
12.52,0.02527
12.56,0.01994
12.6,0.01615
12.64,0.01082
12.68,0.002217
12.72,0.001012
12.76,0.001873
12.8,0.0006683
12.84,0.001701
