tempo,altura
15.52,0.631
15.56,0.631
15.6,0.631
15.64,0.631
15.68,0.631
15.72,0.631
15.76,0.631
15.8,0.631
15.84,0.631
15.88,0.631
15.92,0.631
15.96,0.631
16,0.631
16.04,0.631
16.08,0.631
16.12,0.631
16.16,0.631
16.2,0.631
16.24,0.631
16.28,0.631
16.32,0.631
16.36,0.631
16.4,0.631
16.44,0.631
16.48,0.631
16.52,0.631
16.56,0.629
16.6,0.628
16.64,0.627
16.68,0.627
16.72,0.627
16.76,0.627
16.8,0.627
16.84,0.626
16.88,0.624
16.92,0.624
16.96,0.624
17,0.623
17.04,0.622
17.08,0.62
17.12,0.62
17.16,0.618
17.2,0.616
17.24,0.614
17.28,0.612
17.32,0.609
17.36,0.608
17.4,0.607
17.44,0.604
17.48,0.603
17.52,0.601
17.56,0.597
17.6,0.593
17.64,0.592
17.68,0.59
17.72,0.587
17.76,0.585
17.8,0.583
17.84,0.578
17.88,0.575
17.92,0.574
17.96,0.571
18,0.568
18.04,0.565
18.08,0.56
18.12,0.555
18.16,0.553
18.2,0.549
18.24,0.545
18.28,0.542
18.32,0.538
18.36,0.534
18.4,0.531
18.44,0.527
18.48,0.522
18.52,0.518
18.56,0.512
18.6,0.509
18.64,0.503
18.68,0.499
18.72,0.495
18.76,0.49
18.8,0.486
18.84,0.48
18.88,0.474
18.92,0.469
18.96,0.464
19,0.459
19.04,0.453
19.08,0.447
19.12,0.442
19.16,0.436
19.2,0.43
19.24,0.425
19.28,0.417
19.32,0.411
19.36,0.405
19.4,0.397
19.44,0.392
19.48,0.384
19.52,0.378
19.56,0.371
19.6,0.364
19.64,0.357
19.68,0.35
19.72,0.344
19.76,0.338
19.8,0.332
19.84,0.325
19.88,0.317
19.92,0.309
19.96,0.301
20,0.294
20.04,0.286
20.08,0.278
20.12,0.272
20.16,0.264
20.2,0.256
20.24,0.249
20.28,0.24
20.32,0.231
20.36,0.224
20.4,0.215
20.44,0.207
20.48,0.198
20.52,0.189
20.56,0.181
20.6,0.172
20.64,0.162
20.68,0.153
20.72,0.145
20.76,0.136
20.8,0.126
20.84,0.114
20.88,0.105
20.92,0.095
20.96,0.08625
21,0.07458
21.04,0.06408
21.08,0.05728
21.12,0.04795
21.16,0.03822
21.2,0.02928
21.24,0.01917
21.28,0.009446
21.32,0.009252
21.36,0.006724
21.4,0.007891
21.44,0.01022
