tempo,altura
7.52,0.458
7.56,0.458
7.6,0.458
7.64,0.458
7.68,0.458
7.72,0.458
7.76,0.458
7.8,0.458
7.84,0.458
7.88,0.459
7.92,0.459
7.96,0.459
8,0.458
8.04,0.458
8.08,0.458
8.12,0.458
8.16,0.458
8.2,0.458
8.24,0.458
8.28,0.458
8.32,0.458
8.36,0.456
8.4,0.456
8.44,0.455
8.48,0.455
8.52,0.454
8.56,0.453
8.6,0.453
8.64,0.452
8.68,0.451
8.72,0.451
8.76,0.449
8.8,0.448
8.84,0.446
8.88,0.444
8.92,0.442
8.96,0.44
9,0.44
9.04,0.439
9.08,0.437
9.12,0.434
9.16,0.431
9.2,0.43
9.24,0.427
9.28,0.425
9.32,0.422
9.36,0.421
9.4,0.418
9.44,0.416
9.48,0.414
9.52,0.411
9.56,0.409
9.6,0.406
9.64,0.402
9.68,0.4
9.72,0.396
9.76,0.393
9.8,0.39
9.84,0.388
9.88,0.385
9.92,0.382
9.96,0.378
10,0.374
10.04,0.372
10.08,0.369
10.12,0.365
10.16,0.362
10.2,0.358
10.24,0.355
10.28,0.352
10.32,0.347
10.36,0.344
10.4,0.341
10.44,0.336
10.48,0.333
10.52,0.328
10.56,0.325
10.6,0.321
10.64,0.317
10.68,0.314
10.72,0.309
10.76,0.306
10.8,0.302
10.84,0.296
10.88,0.293
10.92,0.289
10.96,0.286
11,0.281
11.04,0.277
11.08,0.272
11.12,0.268
11.16,0.262
11.2,0.26
11.24,0.255
11.28,0.25
11.32,0.245
11.36,0.241
11.4,0.236
11.44,0.232
11.48,0.227
11.52,0.221
11.56,0.216
11.6,0.211
11.64,0.207
11.68,0.201
11.72,0.197
11.76,0.191
11.8,0.186
11.84,0.181
11.88,0.174
11.92,0.17
11.96,0.164
12,0.16
12.04,0.153
12.08,0.146
12.12,0.142
12.16,0.136
12.2,0.129
12.24,0.125
12.28,0.119
12.32,0.113
12.36,0.106
12.4,0.101
12.44,0.09412
12.48,0.08955
12.52,0.07997
12.56,0.07069
12.6,0.06475
12.64,0.06262
12.68,0.05623
12.72,0.04953
12.76,0.04299
12.8,0.03736
12.84,0.03082
12.88,0.02504
12.92,0.01773
12.96,0.008602
13,0.003733
13.04,0.005254
13.08,0.003581
13.12,0.005102
13.16,0.004494
13.2,0.003885
