tempo,altura
10.52,0.457
10.56,0.457
10.6,0.457
10.64,0.457
10.68,0.457
10.72,0.457
10.76,0.458
10.8,0.458
10.84,0.458
10.88,0.458
10.92,0.458
10.96,0.458
11,0.458
11.04,0.456
11.08,0.456
11.12,0.456
11.16,0.452
11.2,0.452
11.24,0.452
11.28,0.452
11.32,0.452
11.36,0.449
11.4,0.449
11.44,0.447
11.48,0.445
11.52,0.443
11.56,0.441
11.6,0.439
11.64,0.438
11.68,0.437
11.72,0.434
11.76,0.433
11.8,0.429
11.84,0.428
11.88,0.425
11.92,0.422
11.96,0.42
12,0.417
12.04,0.415
12.08,0.412
12.12,0.409
12.16,0.406
12.2,0.403
12.24,0.4
12.28,0.396
12.32,0.393
12.36,0.39
12.4,0.385
12.44,0.381
12.48,0.377
12.52,0.373
12.56,0.369
12.6,0.365
12.64,0.361
12.68,0.357
12.72,0.353
12.76,0.348
12.8,0.344
12.84,0.34
12.88,0.334
12.92,0.328
12.96,0.323
13,0.318
13.04,0.313
13.08,0.308
13.12,0.303
13.16,0.296
13.2,0.29
13.24,0.285
13.28,0.28
13.32,0.275
13.36,0.269
13.4,0.262
13.44,0.256
13.48,0.25
13.52,0.244
13.56,0.238
13.6,0.232
13.64,0.225
13.68,0.218
13.72,0.211
13.76,0.205
13.8,0.198
13.84,0.192
13.88,0.185
13.92,0.179
13.96,0.171
14,0.165
14.04,0.159
14.08,0.15
14.12,0.143
14.16,0.136
14.2,0.129
14.24,0.121
14.28,0.113
14.32,0.106
14.36,0.09695
14.4,0.09026
14.44,0.08204
14.48,0.07096
14.52,0.06523
14.56,0.05739
14.6,0.04879
14.64,0.03981
14.68,0.03216
14.72,0.02318
14.76,0.01439
14.8,0.003115
14.84,0.003115
14.88,0.001395
14.92,0.002351
14.96,0.004262
15,0.001777
