tempo,altura
6.48,0.455
6.52,0.453
6.56,0.454
6.6,0.454
6.64,0.455
6.68,0.453
6.72,0.452
6.76,0.45
6.8,0.448
6.84,0.446
6.88,0.442
6.92,0.437
6.96,0.433
7,0.429
7.04,0.422
7.08,0.419
7.12,0.411
7.16,0.403
7.2,0.395
7.24,0.389
7.28,0.379
7.32,0.369
7.36,0.361
7.4,0.351
7.44,0.336
7.48,0.328
7.52,0.316
7.56,0.303
7.6,0.29
7.64,0.277
7.68,0.263
7.72,0.248
7.76,0.233
7.8,0.219
7.84,0.202
7.88,0.186
7.92,0.168
7.96,0.152
8,0.132
8.04,0.114
8.08,0.09065
8.12,0.06808
8.16,0.05544
8.2,0.03286
8.24,0.005772
8.28,0.007879
8.32,0.0009561
8.36,0.006374
8.4,0.003364
8.44,0.006675
