tempo,altura
6.88,0.288
6.92,0.288
6.96,0.288
7,0.288
7.04,0.288
7.08,0.288
7.12,0.288
7.16,0.288
7.2,0.288
7.24,0.288
7.28,0.288
7.32,0.288
7.36,0.288
7.4,0.288
7.44,0.288
7.48,0.288
7.52,0.288
7.56,0.288
7.6,0.288
7.64,0.288
7.68,0.288
7.72,0.288
7.76,0.287
7.8,0.286
7.84,0.286
7.88,0.286
7.92,0.285
7.96,0.284
8,0.284
8.04,0.283
8.08,0.282
8.12,0.281
8.16,0.281
8.2,0.28
8.24,0.279
8.28,0.278
8.32,0.275
8.36,0.275
8.4,0.274
8.44,0.272
8.48,0.27
8.52,0.268
8.56,0.266
8.6,0.265
8.64,0.263
8.68,0.262
8.72,0.26
8.76,0.258
8.8,0.256
8.84,0.254
8.88,0.251
8.92,0.248
8.96,0.248
9,0.245
9.04,0.244
9.08,0.242
9.12,0.24
9.16,0.237
9.2,0.235
9.24,0.233
9.28,0.23
9.32,0.228
9.36,0.225
9.4,0.222
9.44,0.22
9.48,0.216
9.52,0.215
9.56,0.212
9.6,0.209
9.64,0.206
9.68,0.203
9.72,0.201
9.76,0.198
9.8,0.194
9.84,0.191
9.88,0.189
9.92,0.186
9.96,0.183
10,0.179
10.04,0.176
10.08,0.173
10.12,0.169
10.16,0.165
10.2,0.162
10.24,0.159
10.28,0.155
10.32,0.152
10.36,0.149
10.4,0.145
10.44,0.14
10.48,0.138
10.52,0.133
10.56,0.128
10.6,0.124
10.64,0.122
10.68,0.118
10.72,0.114
10.76,0.11
10.8,0.106
10.84,0.101
10.88,0.09788
10.92,0.09524
10.96,0.08997
11,0.08581
11.04,0.08123
11.08,0.07638
11.12,0.07027
11.16,0.0675
11.2,0.06181
11.24,0.05723
11.28,0.0521
11.32,0.04627
11.36,0.04253
11.4,0.03767
11.44,0.03171
11.48,0.02727
11.52,0.02117
11.56,0.01506
11.6,0.01035
11.64,0.001745
11.68,8.013e-05
11.72,-0.000336
11.76,-0.000336
