tempo,altura
10.44,0.635
10.48,0.635
10.52,0.634
10.56,0.634
10.6,0.634
10.64,0.634
10.68,0.634
10.72,0.634
10.76,0.634
10.8,0.632
10.84,0.63
10.88,0.625
10.92,0.622
10.96,0.617
11,0.612
11.04,0.607
11.08,0.601
11.12,0.596
11.16,0.588
11.2,0.581
11.24,0.572
11.28,0.565
11.32,0.555
11.36,0.546
11.4,0.536
11.44,0.523
11.48,0.513
11.52,0.501
11.56,0.489
11.6,0.476
11.64,0.462
11.68,0.447
11.72,0.433
11.76,0.417
11.8,0.402
11.84,0.386
11.88,0.369
11.92,0.351
11.96,0.334
12,0.314
12.04,0.295
12.08,0.277
12.12,0.257
12.16,0.236
12.2,0.214
12.24,0.194
12.28,0.173
12.32,0.15
12.36,0.127
12.4,0.103
12.44,0.07854
12.48,0.05778
12.52,0.03113
12.56,0.01212
12.6,0.01627
12.64,0.008185
12.68,0.01365
12.72,0.01081
