tempo,altura
12.08,0.646
12.12,0.645
12.16,0.645
12.2,0.645
12.24,0.645
12.28,0.645
12.32,0.645
12.36,0.645
12.4,0.645
12.44,0.645
12.48,0.645
12.52,0.645
12.56,0.645
12.6,0.645
12.64,0.645
12.68,0.644
12.72,0.643
12.76,0.643
12.8,0.642
12.84,0.641
12.88,0.64
12.92,0.638
12.96,0.638
13,0.636
13.04,0.635
13.08,0.635
13.12,0.631
13.16,0.63
13.2,0.629
13.24,0.627
13.28,0.621
13.32,0.622
13.36,0.62
13.4,0.618
13.44,0.616
13.48,0.613
13.52,0.61
13.56,0.607
13.6,0.605
13.64,0.602
13.68,0.6
13.72,0.596
13.76,0.593
13.8,0.59
13.84,0.585
13.88,0.583
13.92,0.579
13.96,0.575
14,0.573
14.04,0.569
14.08,0.565
14.12,0.56
14.16,0.556
14.2,0.553
14.24,0.549
14.28,0.543
14.32,0.54
14.36,0.536
14.4,0.53
14.44,0.525
14.48,0.52
14.52,0.516
14.56,0.51
14.6,0.505
14.64,0.499
14.68,0.496
14.72,0.49
14.76,0.485
14.8,0.481
14.84,0.473
14.88,0.468
14.92,0.463
14.96,0.457
15,0.45
15.04,0.444
15.08,0.436
15.12,0.432
15.16,0.427
15.2,0.418
15.24,0.413
15.28,0.406
15.32,0.4
15.36,0.394
15.4,0.387
15.44,0.38
15.48,0.374
15.52,0.366
15.56,0.359
15.6,0.353
15.64,0.348
15.68,0.34
15.72,0.333
15.76,0.326
15.8,0.32
15.84,0.312
15.88,0.303
15.92,0.296
15.96,0.289
16,0.28
16.04,0.274
16.08,0.265
16.12,0.258
16.16,0.247
16.2,0.239
16.24,0.231
16.28,0.222
16.32,0.211
16.36,0.202
16.4,0.194
16.44,0.186
16.48,0.175
16.52,0.168
16.56,0.157
16.6,0.148
16.64,0.14
16.68,0.13
16.72,0.121
16.76,0.111
16.8,0.102
16.84,0.09111
16.88,0.08163
16.92,0.06968
16.96,0.0616
17,0.05072
17.04,0.04193
17.08,0.03315
17.12,0.02191
17.16,0.01032
17.2,0.002595
17.24,0.002244
17.28,0.000839
17.32,0.002244
17.36,0.003298
