tempo,altura
7.08,0.456
7.12,0.456
7.16,0.456
7.2,0.456
7.24,0.456
7.28,0.456
7.32,0.456
7.36,0.456
7.4,0.455
7.44,0.453
7.48,0.453
7.52,0.452
7.56,0.45
7.6,0.449
7.64,0.445
7.68,0.442
7.72,0.44
7.76,0.436
7.8,0.433
7.84,0.427
7.88,0.421
7.92,0.416
7.96,0.41
8,0.405
8.04,0.395
8.08,0.386
8.12,0.376
8.16,0.37
8.2,0.359
8.24,0.351
8.28,0.341
8.32,0.331
8.36,0.321
8.4,0.31
8.44,0.298
8.48,0.285
8.52,0.274
8.56,0.262
8.6,0.249
8.64,0.235
8.68,0.222
8.72,0.208
8.76,0.192
8.8,0.178
8.84,0.163
8.88,0.146
8.92,0.131
8.96,0.113
9,0.09347
9.04,0.07486
9.08,0.05473
9.12,0.03947
9.16,0.023
9.2,0.00409
9.24,0.007141
9.28,0.0007349
9.32,0.008361
9.36,0.00348
9.4,0.00226
9.44,0.00226
9.48,0.001955
