tempo,altura
4.04,0.458
4.08,0.459
4.12,0.458
4.16,0.458
4.2,0.458
4.24,0.458
4.28,0.458
4.32,0.458
4.36,0.458
4.4,0.458
4.44,0.458
4.48,0.458
4.52,0.458
4.56,0.458
4.6,0.458
4.64,0.458
4.68,0.458
4.72,0.458
4.76,0.459
4.8,0.459
4.84,0.457
4.88,0.456
4.92,0.456
4.96,0.454
5,0.454
5.04,0.451
5.08,0.45
5.12,0.448
5.16,0.446
5.2,0.445
5.24,0.442
5.28,0.44
5.32,0.437
5.36,0.435
5.4,0.431
5.44,0.426
5.48,0.422
5.52,0.417
5.56,0.414
5.6,0.41
5.64,0.405
5.68,0.402
5.72,0.396
5.76,0.392
5.8,0.387
5.84,0.381
5.88,0.376
5.92,0.37
5.96,0.364
6,0.358
6.04,0.351
6.08,0.345
6.12,0.339
6.16,0.333
6.2,0.325
6.24,0.318
6.28,0.311
6.32,0.303
6.36,0.295
6.4,0.287
6.44,0.278
6.48,0.269
6.52,0.261
6.56,0.253
6.6,0.243
6.64,0.235
6.68,0.226
6.72,0.216
6.76,0.206
6.8,0.194
6.84,0.184
6.88,0.173
6.92,0.164
6.96,0.153
7,0.143
7.04,0.132
7.08,0.12
7.12,0.108
7.16,0.09532
7.2,0.08397
7.24,0.07263
7.28,0.05887
7.32,0.04897
7.36,0.0328
7.4,0.02073
7.44,0.005765
7.48,0.00673
7.52,0.002868
7.56,0.004075
7.6,0.00673
7.64,0.003351
7.68,0.009144
