"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,2.680232707E0
2.250000000E2,3.626823373E-1
2.500000000E2,8.013429577E-1
2.750000000E2,3.401777647E-1
3.000000000E2,1.094302519E0
3.250000000E2,9.916092000E-1
3.500000000E2,9.141245560E-1
3.750000000E2,1.280373830E0
4.000000000E2,5.510465855E-1
4.250000000E2,1.467562842E0
4.500000000E2,1.061391345E0
4.750000000E2,2.648691917E0
5.000000000E2,6.539225698E-1
5.250000000E2,1.553318361E0
5.500000000E2,1.716508719E0
5.750000000E2,1.543499361E0
6.000000000E2,2.035628319E0
6.250000000E2,9.630525595E0
6.500000000E2,5.494583116E-1
6.750000000E2,8.673522937E-1
7.000000000E2,1.361402378E0
7.250000000E2,1.387292476E0
7.500000000E2,2.203365583E0
7.750000000E2,1.606834747E0
8.000000000E2,1.607365096E0
8.250000000E2,2.125002353E0
8.500000000E2,4.183130103E0
8.750000000E2,2.527631381E0
9.000000000E2,8.164728553E0
9.250000000E2,5.321253840E0
9.500000000E2,2.472637099E0
9.750000000E2,3.992797574E0
1.000000000E3,2.535728630E0
1.025000000E3,3.405261149E0
1.050000000E3,2.795751762E0
1.075000000E3,5.552231933E0
1.100000000E3,2.796652395E0
1.125000000E3,3.467107180E0
1.150000000E3,3.353738374E0
1.175000000E3,2.773070882E0
1.200000000E3,4.063166084E0
1.225000000E3,4.100204439E0
1.250000000E3,3.089854480E0
1.275000000E3,3.482368656E0
1.300000000E3,3.193764143E0
1.325000000E3,3.423511377E0
1.350000000E3,4.136712864E0
1.375000000E3,4.544657442E0
1.400000000E3,2.833182387E0
1.425000000E3,4.390999076E0
1.450000000E3,3.897996358E0
1.475000000E3,4.174827431E0
1.500000000E3,3.309500517E0
1.525000000E3,2.950201929E0
1.550000000E3,3.639043110E0
1.575000000E3,4.248218388E0
1.600000000E3,3.657079343E0
1.625000000E3,4.571837776E0
1.650000000E3,4.574010202E0
1.675000000E3,3.141988754E0
1.700000000E3,3.761170278E0
1.725000000E3,3.289459896E0
1.750000000E3,3.189190084E0
1.775000000E3,3.002731964E0
1.800000000E3,3.010651453E0
1.825000000E3,4.075574228E0
1.850000000E3,2.277626397E0
1.875000000E3,2.056668051E0
1.900000000E3,9.117066187E-1
1.925000000E3,1.002321310E0
1.950000000E3,1.029169551E0
1.975000000E3,1.290847480E0
2.000000000E3,1.495615993E0
2.025000000E3,1.682533198E0
2.050000000E3,1.340998503E0
2.075000000E3,1.181651230E0
2.100000000E3,1.534796945E0
2.125000000E3,1.493943697E0
2.150000000E3,1.055331362E0
2.175000000E3,1.438854811E0
2.200000000E3,3.038179346E0
2.225000000E3,2.393772517E0
2.250000000E3,2.231159858E0
2.275000000E3,1.433329056E0
2.300000000E3,2.590058666E0
2.325000000E3,2.435280595E0
2.350000000E3,1.352322408E0
2.375000000E3,2.026379136E0
2.400000000E3,2.940463566E0
2.425000000E3,1.912119622E0
2.450000000E3,1.688238370E0
2.475000000E3,1.804912646E0
2.500000000E3,1.781959220E0
2.525000000E3,1.451138358E0
2.550000000E3,1.660961010E0
2.575000000E3,2.482194785E0
2.600000000E3,1.846811599E0
2.625000000E3,1.913781590E0
2.650000000E3,3.488112724E0
2.675000000E3,2.597025882E0
2.700000000E3,2.273044597E0
2.725000000E3,1.331492799E0
2.750000000E3,1.767274068E0
2.775000000E3,2.977263008E0
2.800000000E3,1.302016018E0
2.825000000E3,1.565418812E0
2.850000000E3,2.287797640E0
2.875000000E3,2.671855374E0
2.900000000E3,2.423362608E0
2.925000000E3,2.808325266E0
2.950000000E3,2.609464169E0
2.975000000E3,1.924062680E0
3.000000000E3,2.374799975E0
