"frequency (Hz)","audio amplitude (a.u.)"
2.100000000E3,2.603840499E0
2.110000000E3,2.341249698E0
2.120000000E3,2.308987694E0
2.130000000E3,1.843499710E0
2.140000000E3,1.233350566E0
2.150000000E3,8.745964334E-1
2.160000000E3,7.910009588E-1
2.170000000E3,9.827544995E-1
2.180000000E3,1.284840533E0
2.190000000E3,1.548585387E0
2.200000000E3,1.444440132E0
2.210000000E3,1.317515759E0
2.220000000E3,1.219838158E0
2.230000000E3,8.421345700E-1
2.240000000E3,5.993015461E-1
2.250000000E3,7.162747989E-1
2.260000000E3,1.172189755E0
2.270000000E3,1.585917340E0
2.280000000E3,1.521630159E0
2.290000000E3,1.912110443E0
2.300000000E3,1.885644002E0
2.310000000E3,1.874952123E0
2.320000000E3,1.374732068E0
2.330000000E3,1.006282677E0
2.340000000E3,7.055620747E-1
2.350000000E3,7.273537918E-1
2.360000000E3,9.977423726E-1
2.370000000E3,1.315036376E0
2.380000000E3,1.606425191E0
2.390000000E3,1.521527876E0
2.400000000E3,1.477659980E0
2.410000000E3,1.337984544E0
2.420000000E3,9.604110732E-1
2.430000000E3,6.794695743E-1
2.440000000E3,5.630916024E-1
2.450000000E3,6.719593935E-1
2.460000000E3,7.585064999E-1
2.470000000E3,7.076556433E-1
2.480000000E3,5.473855836E-1
2.490000000E3,6.670648661E-1
2.500000000E3,8.899488410E-1
2.510000000E3,7.593410960E-1
2.520000000E3,5.807025827E-1
2.530000000E3,4.795213951E-1
2.540000000E3,5.613400735E-1
2.550000000E3,7.772921220E-1
2.560000000E3,1.121237005E0
2.570000000E3,1.193559907E0
2.580000000E3,1.194292283E0
2.590000000E3,1.317980518E0
2.600000000E3,1.110383042E0
2.610000000E3,9.179742834E-1
2.620000000E3,9.527472428E-1
2.630000000E3,1.122558340E0
2.640000000E3,1.221609703E0
2.650000000E3,1.191098336E0
2.660000000E3,1.163977734E0
2.670000000E3,1.342984197E0
2.680000000E3,1.250468692E0
2.690000000E3,9.620264055E-1
2.700000000E3,3.648633131E-1
2.710000000E3,1.434050268E-1
2.720000000E3,2.076399091E-1
2.730000000E3,3.034975172E-1
2.740000000E3,4.961831592E-1
2.750000000E3,7.775781942E-1
2.760000000E3,7.980878648E-1
2.770000000E3,8.320544471E-1
2.780000000E3,8.899187360E-1
2.790000000E3,7.072700103E-1
2.800000000E3,5.466157826E-1
2.810000000E3,4.568060104E-1
2.820000000E3,5.136051514E-1
2.830000000E3,6.656806072E-1
2.840000000E3,9.152452597E-1
2.850000000E3,1.016184735E0
2.860000000E3,1.027368379E0
2.870000000E3,1.043705328E0
2.880000000E3,8.851937951E-1
2.890000000E3,7.202954605E-1
2.900000000E3,5.340395517E-1
2.910000000E3,4.482696311E-1
2.920000000E3,5.064724625E-1
2.930000000E3,3.015581915E-1
2.940000000E3,9.507144476E-2
2.950000000E3,1.695684508E-1
2.960000000E3,3.085123155E-1
2.970000000E3,4.345349160E-1
2.980000000E3,3.851183976E-1
2.990000000E3,3.223895289E-1
3.000000000E3,3.223895289E-1
