"frequency (Hz)","audio amplitude (a.u.)"
2.000000000E2,1.300215664E0
2.250000000E2,1.217270134E0
2.500000000E2,3.181516026E-1
2.750000000E2,8.009349576E-1
3.000000000E2,1.025976112E0
3.250000000E2,2.764831296E0
3.500000000E2,3.288790591E0
3.750000000E2,2.227330698E0
4.000000000E2,2.681934012E0
4.250000000E2,2.684339411E0
4.500000000E2,4.829810670E0
4.750000000E2,1.022592209E0
5.000000000E2,1.802778589E0
5.250000000E2,2.062954750E0
5.500000000E2,2.686794481E0
5.750000000E2,3.462651259E0
6.000000000E2,1.931879743E0
6.250000000E2,2.540971829E0
6.500000000E2,4.564322694E0
6.750000000E2,1.242719606E0
7.000000000E2,1.756516648E0
7.250000000E2,1.062087516E0
7.500000000E2,1.938900429E0
7.750000000E2,1.497509232E0
8.000000000E2,2.190525116E0
8.250000000E2,3.855310072E0
8.500000000E2,2.264565028E0
8.750000000E2,2.205064744E0
9.000000000E2,2.405259223E0
9.250000000E2,3.116609408E0
9.500000000E2,2.521694723E0
9.750000000E2,3.409132934E0
1.000000000E3,3.193267171E0
1.025000000E3,3.249304656E0
1.050000000E3,2.704022080E0
1.075000000E3,3.175003881E0
1.100000000E3,3.595548713E0
1.125000000E3,3.700286480E0
1.150000000E3,1.858016770E0
1.175000000E3,2.248670119E0
1.200000000E3,3.673670199E0
1.225000000E3,3.702063217E0
1.250000000E3,2.286087409E0
1.275000000E3,3.818056395E0
1.300000000E3,2.363415982E0
1.325000000E3,3.657997664E0
1.350000000E3,3.586581003E0
1.375000000E3,2.881506798E0
1.400000000E3,3.142420443E0
1.425000000E3,2.734047812E0
1.450000000E3,3.892652537E0
1.475000000E3,3.011760940E0
1.500000000E3,2.956381808E0
1.525000000E3,2.944285681E0
1.550000000E3,3.202048886E0
1.575000000E3,2.509602775E0
1.600000000E3,2.162074344E0
1.625000000E3,3.091817430E0
1.650000000E3,2.308944289E0
1.675000000E3,3.096624598E0
1.700000000E3,2.721182341E0
1.725000000E3,2.121431096E0
1.750000000E3,2.455238579E0
1.775000000E3,2.274776958E0
1.800000000E3,2.159973924E0
1.825000000E3,1.616257550E0
1.850000000E3,1.996858424E0
1.875000000E3,1.210590715E0
1.900000000E3,1.731064164E0
1.925000000E3,1.448510707E0
1.950000000E3,2.141001550E0
1.975000000E3,1.331510542E0
2.000000000E3,2.306759315E0
2.025000000E3,2.030205226E0
2.050000000E3,1.106212604E0
2.075000000E3,8.417774922E-1
2.100000000E3,9.186295172E-1
2.125000000E3,1.874337052E0
2.150000000E3,4.378372661E0
2.175000000E3,2.263538673E0
2.200000000E3,3.226744879E0
2.225000000E3,1.721823231E0
2.250000000E3,3.390613824E0
2.275000000E3,1.601993820E0
2.300000000E3,2.292245629E0
2.325000000E3,2.176965662E0
2.350000000E3,1.646329749E0
2.375000000E3,2.046185275E0
2.400000000E3,2.668219032E0
2.425000000E3,1.721314681E0
2.450000000E3,1.651250810E0
2.475000000E3,4.605133809E0
2.500000000E3,2.211732936E0
2.525000000E3,9.804980149E-1
2.550000000E3,1.297735666E0
2.575000000E3,1.765943044E0
2.600000000E3,2.352360695E0
2.625000000E3,1.902682841E0
2.650000000E3,2.259744880E0
2.675000000E3,2.502867745E0
2.700000000E3,1.381196364E0
2.725000000E3,9.264100029E-1
2.750000000E3,2.437013514E0
2.775000000E3,2.253605090E0
2.800000000E3,1.322801472E0
2.825000000E3,1.706970950E0
2.850000000E3,1.282928342E1
2.875000000E3,1.864958776E0
2.900000000E3,2.342446975E0
2.925000000E3,2.505404979E0
2.950000000E3,2.529568431E0
2.975000000E3,2.077131107E0
3.000000000E3,4.847415251E0
