tempo,altura
8.44,0.454
8.48,0.453
8.52,0.453
8.56,0.453
8.6,0.453
8.64,0.453
8.68,0.453
8.72,0.453
8.76,0.453
8.8,0.453
8.84,0.453
8.88,0.453
8.92,0.453
8.96,0.453
9,0.453
9.04,0.453
9.08,0.451
9.12,0.451
9.16,0.451
9.2,0.451
9.24,0.45
9.28,0.45
9.32,0.447
9.36,0.447
9.4,0.446
9.44,0.445
9.48,0.444
9.52,0.442
9.56,0.441
9.6,0.44
9.64,0.439
9.68,0.436
9.72,0.436
9.76,0.432
9.8,0.43
9.84,0.428
9.88,0.424
9.92,0.423
9.96,0.419
10,0.416
10.04,0.412
10.08,0.409
10.12,0.407
10.16,0.405
10.2,0.403
10.24,0.401
10.28,0.396
10.32,0.394
10.36,0.391
10.4,0.389
10.44,0.381
10.48,0.377
10.52,0.373
10.56,0.37
10.6,0.366
10.64,0.363
10.68,0.359
10.72,0.356
10.76,0.35
10.8,0.346
10.84,0.342
10.88,0.338
10.92,0.335
10.96,0.327
11,0.322
11.04,0.319
11.08,0.313
11.12,0.31
11.16,0.304
11.2,0.298
11.24,0.294
11.28,0.289
11.32,0.285
11.36,0.28
11.4,0.275
11.44,0.269
11.48,0.262
11.52,0.258
11.56,0.253
11.6,0.247
11.64,0.24
11.68,0.235
11.72,0.228
11.76,0.226
11.8,0.218
11.84,0.211
11.88,0.204
11.92,0.202
11.96,0.195
12,0.187
12.04,0.18
12.08,0.172
12.12,0.165
12.16,0.16
12.2,0.153
12.24,0.145
12.28,0.14
12.32,0.134
12.36,0.125
12.4,0.116
12.44,0.108
12.48,0.09893
12.52,0.09404
12.56,0.08839
12.6,0.08199
12.64,0.07295
12.68,0.05939
12.72,0.05299
12.76,0.04358
12.8,0.03793
12.84,0.0304
12.88,0.0191
12.92,0.01232
12.96,0.007424
13,0.007047
13.04,0.004034
13.08,0.004034
13.12,0.00893
13.16,0.005541
