tempo,altura
11.04,0.289
11.08,0.288
11.12,0.288
11.16,0.288
11.2,0.288
11.24,0.288
11.28,0.288
11.32,0.288
11.36,0.288
11.4,0.288
11.44,0.288
11.48,0.288
11.52,0.288
11.56,0.288
11.6,0.286
11.64,0.284
11.68,0.282
11.72,0.28
11.76,0.276
11.8,0.272
11.84,0.265
11.88,0.258
11.92,0.254
11.96,0.247
12,0.24
12.04,0.232
12.08,0.224
12.12,0.216
12.16,0.205
12.2,0.195
12.24,0.185
12.28,0.174
12.32,0.162
12.36,0.151
12.4,0.138
12.44,0.126
12.48,0.11
12.52,0.09763
12.56,0.0815
12.6,0.06399
12.64,0.04994
12.68,0.03451
12.72,0.01821
12.76,0.002603
12.8,0.00399
12.84,0.0005217
12.88,0.002082
