tempo,altura
11.240,0.288
11.280,0.288
11.320,0.288
11.360,0.288
11.400,0.288
11.440,0.288
11.480,0.288
11.520,0.288
11.560,0.288
11.600,0.288
11.640,0.288
11.680,0.288
11.720,0.288
11.760,0.288
11.800,0.286
11.840,0.286
11.880,0.284
11.920,0.283
11.960,0.282
12.000,0.281
12.040,0.28
12.080,0.279
12.120,0.278
12.160,0.277
12.200,0.274
12.240,0.272
12.280,0.27
12.320,0.268
12.360,0.266
12.400,0.265
12.440,0.261
12.480,0.259
12.520,0.257
12.560,0.255
12.600,0.253
12.640,0.251
12.680,0.247
12.720,0.244
12.760,0.242
12.800,0.238
12.840,0.235
12.880,0.232
12.920,0.228
12.960,0.225
13.000,0.222
13.040,0.218
13.080,0.214
13.120,0.211
13.160,0.207
13.200,0.203
13.240,0.2
13.280,0.197
13.320,0.192
13.360,0.188
13.400,0.183
13.440,0.18
13.480,0.175
13.520,0.17
13.560,0.166
13.600,0.161
13.640,0.155
13.680,0.152
13.720,0.147
13.760,0.142
13.800,0.136
13.840,0.131
13.880,0.126
13.920,0.122
13.960,0.117
14.000,0.112
14.040,0.106
14.080,0.102
14.120,0.09456
14.160,0.08946
14.200,0.08377
14.240,0.0773
14.280,0.06847
14.320,0.06318
14.360,0.05612
14.400,0.05121
14.440,0.04454
14.480,0.03905
14.520,0.03317
14.560,0.02748
14.600,0.01944
14.640,0.01179
14.680,-0.0001785
14.720,-0.0001785
14.760,0.00041
14.800,0.0002138
14.840,0.0002138
14.880,0.0002138
