tempo,altura
8.4,0.159
8.44,0.159
8.48,0.159
8.52,0.159
8.56,0.159
8.6,0.159
8.64,0.159
8.68,0.159
8.72,0.159
8.76,0.159
8.8,0.159
8.84,0.159
8.88,0.159
8.92,0.159
8.96,0.157
9,0.156
9.04,0.154
9.08,0.153
9.12,0.151
9.16,0.15
9.2,0.147
9.24,0.145
9.28,0.142
9.32,0.14
9.36,0.137
9.4,0.133
9.44,0.13
9.48,0.127
9.52,0.122
9.56,0.119
9.6,0.114
9.64,0.111
9.68,0.106
9.72,0.101
9.76,0.09565
9.8,0.09116
9.84,0.08562
9.88,0.07653
9.92,0.07046
9.96,0.06472
10,0.05886
10.04,0.05427
10.08,0.04852
10.12,0.04141
10.16,0.03504
10.2,0.02804
10.24,0.02041
10.28,0.01351
10.32,0.00254
10.36,0.002017
10.4,0.002017
10.44,0.002017
