tempo,altura
7.24,0.638
7.28,0.638
7.32,0.638
7.36,0.638
7.4,0.639
7.44,0.639
7.48,0.639
7.52,0.639
7.56,0.639
7.6,0.639
7.64,0.639
7.68,0.639
7.72,0.639
7.76,0.639
7.8,0.639
7.84,0.639
7.88,0.639
7.92,0.639
7.96,0.639
8,0.639
8.04,0.639
8.08,0.639
8.12,0.639
8.16,0.639
8.2,0.639
8.24,0.639
8.28,0.639
8.32,0.636
8.36,0.636
8.4,0.635
8.44,0.635
8.48,0.634
8.52,0.633
8.56,0.633
8.6,0.632
8.64,0.631
8.68,0.63
8.72,0.629
8.76,0.628
8.8,0.627
8.84,0.626
8.88,0.625
8.92,0.624
8.96,0.622
9,0.62
9.04,0.619
9.08,0.618
9.12,0.617
9.16,0.615
9.2,0.614
9.24,0.61
9.28,0.608
9.32,0.606
9.36,0.605
9.4,0.6
9.44,0.599
9.48,0.595
9.52,0.594
9.56,0.593
9.6,0.589
9.64,0.586
9.68,0.584
9.72,0.582
9.76,0.58
9.8,0.577
9.84,0.573
9.88,0.572
9.92,0.568
9.96,0.565
10,0.562
10.04,0.561
10.08,0.557
10.12,0.551
10.16,0.548
10.2,0.544
10.24,0.541
10.28,0.538
10.32,0.534
10.36,0.53
10.4,0.527
10.44,0.524
10.48,0.522
10.52,0.516
10.56,0.511
10.6,0.508
10.64,0.505
10.68,0.501
10.72,0.498
10.76,0.492
10.8,0.49
10.84,0.484
10.88,0.479
10.92,0.475
10.96,0.471
11,0.465
11.04,0.462
11.08,0.457
11.12,0.45
11.16,0.446
11.2,0.441
11.24,0.439
11.28,0.431
11.32,0.427
11.36,0.424
11.4,0.419
11.44,0.413
11.48,0.408
11.52,0.402
11.56,0.398
11.6,0.393
11.64,0.387
11.68,0.382
11.72,0.377
11.76,0.371
11.8,0.366
11.84,0.36
11.88,0.355
11.92,0.349
11.96,0.344
12,0.337
12.04,0.331
12.08,0.326
12.12,0.321
12.16,0.317
12.2,0.308
12.24,0.301
12.28,0.295
12.32,0.289
12.36,0.284
12.4,0.278
12.44,0.272
12.48,0.265
12.52,0.258
12.56,0.254
12.6,0.246
12.64,0.238
12.68,0.232
12.72,0.225
12.76,0.218
12.8,0.212
12.84,0.206
12.88,0.197
12.92,0.19
12.96,0.185
13,0.178
13.04,0.169
13.08,0.162
13.12,0.154
13.16,0.148
13.2,0.141
13.24,0.134
13.28,0.126
13.32,0.117
13.36,0.112
13.4,0.104
13.44,0.0946
13.48,0.08917
13.52,0.07509
13.56,0.07113
13.6,0.05829
13.64,0.05285
13.68,0.04741
13.72,0.04223
13.76,0.03407
13.8,0.0274
13.84,0.01703
13.88,0.007143
13.92,0.006896
13.96,0.007637
14,0.006649
