tempo,altura
8.12,0.633
8.16,0.633
8.2,0.633
8.24,0.633
8.28,0.633
8.32,0.632
8.36,0.632
8.4,0.631
8.44,0.631
8.48,0.629
8.52,0.629
8.56,0.628
8.6,0.622
8.64,0.619
8.68,0.615
8.72,0.613
8.76,0.609
8.8,0.605
8.84,0.596
8.88,0.591
8.92,0.583
8.96,0.576
9,0.569
9.04,0.563
9.08,0.554
9.12,0.545
9.16,0.537
9.2,0.526
9.24,0.518
9.28,0.506
9.32,0.496
9.36,0.485
9.4,0.474
9.44,0.461
9.48,0.448
9.52,0.435
9.56,0.422
9.6,0.408
9.64,0.393
9.68,0.379
9.72,0.364
9.76,0.348
9.8,0.334
9.84,0.317
9.88,0.3
9.92,0.281
9.96,0.264
10,0.244
10.04,0.227
10.08,0.208
10.12,0.187
10.16,0.17
10.2,0.149
10.24,0.128
10.28,0.109
10.32,0.09005
10.36,0.06379
10.4,0.04371
10.44,0.02073
10.48,0.008373
10.52,0.00818
10.56,0.00818
10.6,0.004126
10.64,0.007215
10.68,0.00316
