tempo,altura
12.12,0.288
12.16,0.288
12.2,0.288
12.24,0.289
12.28,0.289
12.32,0.289
12.36,0.288
12.4,0.288
12.44,0.288
12.48,0.285
12.52,0.286
12.56,0.284
12.6,0.281
12.64,0.279
12.68,0.278
12.72,0.275
12.76,0.274
12.8,0.272
12.84,0.268
12.88,0.265
12.92,0.263
12.96,0.259
13,0.256
13.04,0.252
13.08,0.247
13.12,0.244
13.16,0.239
13.2,0.234
13.24,0.229
13.28,0.224
13.32,0.22
13.36,0.213
13.4,0.206
13.44,0.201
13.48,0.194
13.52,0.188
13.56,0.182
13.6,0.175
13.64,0.168
13.68,0.16
13.72,0.152
13.76,0.145
13.8,0.137
13.84,0.129
13.88,0.121
13.92,0.113
13.96,0.103
14,0.09537
14.04,0.08542
14.08,0.07486
14.12,0.06332
14.16,0.05423
14.2,0.04527
14.24,0.03753
14.28,0.02685
14.32,0.01604
14.36,0.002776
14.4,0.0006886
14.44,0.0001974
14.48,7.457e-05
