tempo,altura
9.52,0.636
9.56,0.635
9.6,0.636
9.64,0.636
9.68,0.636
9.72,0.636
9.76,0.636
9.8,0.636
9.84,0.636
9.88,0.636
9.92,0.636
9.96,0.635
10,0.635
10.04,0.635
10.08,0.634
10.12,0.632
10.16,0.632
10.2,0.63
10.24,0.629
10.28,0.628
10.32,0.626
10.36,0.623
10.4,0.62
10.44,0.618
10.48,0.616
10.52,0.612
10.56,0.608
10.6,0.603
10.64,0.6
10.68,0.595
10.72,0.591
10.76,0.587
10.8,0.582
10.84,0.578
10.88,0.572
10.92,0.568
10.96,0.562
11,0.557
11.04,0.549
11.08,0.544
11.12,0.539
11.16,0.531
11.2,0.525
11.24,0.518
11.28,0.511
11.32,0.502
11.36,0.494
11.4,0.486
11.44,0.479
11.48,0.47
11.52,0.462
11.56,0.454
11.6,0.445
11.64,0.436
11.68,0.426
11.72,0.418
11.76,0.407
11.8,0.398
11.84,0.388
11.88,0.378
11.92,0.368
11.96,0.358
12,0.347
12.04,0.336
12.08,0.326
12.12,0.314
12.16,0.302
12.2,0.291
12.24,0.279
12.28,0.267
12.32,0.254
12.36,0.241
12.4,0.229
12.44,0.216
12.48,0.203
12.52,0.188
12.56,0.175
12.6,0.161
12.64,0.147
12.68,0.133
12.72,0.12
12.76,0.107
12.8,0.09212
12.84,0.07675
12.88,0.05827
12.92,0.04601
12.96,0.03098
13,0.01354
13.04,0.009046
13.08,0.007664
13.12,0.009046
13.16,0.007837
13.2,0.01043
