tempo,altura
7,0.287
7.04,0.288
7.08,0.288
7.12,0.288
7.16,0.288
7.2,0.288
7.24,0.288
7.28,0.288
7.32,0.288
7.36,0.288
7.4,0.288
7.44,0.288
7.48,0.288
7.52,0.286
7.56,0.285
7.6,0.284
7.64,0.281
7.68,0.278
7.72,0.275
7.76,0.271
7.8,0.267
7.84,0.262
7.88,0.258
7.92,0.253
7.96,0.247
8,0.241
8.04,0.233
8.08,0.227
8.12,0.22
8.16,0.211
8.2,0.204
8.24,0.196
8.28,0.186
8.32,0.175
8.36,0.164
8.4,0.156
8.44,0.145
8.48,0.135
8.52,0.123
8.56,0.111
8.6,0.0988
8.64,0.08722
8.68,0.0746
8.72,0.05385
8.76,0.04296
8.8,0.02896
8.84,0.0153
8.88,0.00147
8.92,0.004236
8.96,0.001124
9,0.00147
9.04,0.001816
